"공항별(1)",2019. 01,2019. 01,2019. 02,2019. 02,2019. 03,2019. 03,2019. 04,2019. 04,2019. 05,2019. 05,2019. 06,2019. 06,2019. 07,2019. 07,2019. 08,2019. 08,2019. 09,2019. 09,2019. 10,2019. 10,2019. 11,2019. 11,2019. 12,2019. 12,2020. 01,2020. 01,2020. 02,2020. 02,2020. 03,2020. 03,2020. 04,2020. 04,2020. 05,2020. 05,2020. 06,2020. 06,2020. 07,2020. 07,2020. 08,2020. 08,2020. 09,2020. 09,2020. 10,2020. 10,2020. 11,2020. 11,2020. 12,2020. 12,2021. 01,2021. 01,2021. 02,2021. 02,2021. 03,2021. 03,2021. 04,2021. 04,2021. 05,2021. 05,2021. 06,2021. 06
"공항별(1)",운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤),운항 (편),화물 (톤)
"공항별(1)",계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"합계",77204,382316,70105,328546,76728,396068,75292,371192,79058,370085,77696,369680,80159,376640,81444,386244,73865,368181,76649,397611,73624,392205,77117,394679,78976,371685,58637,314883,26231,273377,25446,241004,34879,247623,37098,245336,41207,270994,44804,274504,34819,284825,45368,299110,46748,305938,37767,305282,29683,289556,39096,273906,45504,325955,49438,318845,50636,321616,48165,316819
